,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Hermanus,ZA,1650472100,-34.4187,19.2345,68.81,70,41,2.98
1,Clifton Springs,AU,1650472570,-38.15,144.5667,57.94,88,75,4.61
2,At-Bashi,KG,1650472667,41.1702,75.8106,52.39,73,100,0.74
3,Kruisfontein,ZA,1650471913,-34.0033,24.7314,70.84,47,77,2.19
4,Atuona,PF,1650471847,-9.8,-139.0333,78.85,73,59,20.42
5,Natal,BR,1650472527,-5.795,-35.2094,88.45,66,40,16.11
6,Albany,US,1650472099,42.6001,-73.9662,48.38,52,17,1.99
7,Karlovasi,GR,1650472668,37.7903,26.7044,62.91,71,2,9.26
8,Vila Franca do Campo,PT,1650472668,37.7167,-25.4333,65.19,63,78,2.89
9,Havre-St-Pierre,CA,1650472156,50.2334,-63.5986,41.36,75,100,12.66
10,Kapaa,US,1650472090,22.0752,-159.319,71.92,85,75,13.8
11,Mahébourg,MU,1650472206,-20.4081,57.7,79.09,89,20,1.14
12,Birao,CF,1650472668,10.2849,22.7882,93.88,30,64,3.09
13,Poso,ID,1650472669,-1.3959,120.7524,78.19,86,100,4.29
14,Barrow,US,1650471842,71.2906,-156.7887,-2.18,78,0,11.5
15,Lebu,CL,1650472132,-37.6167,-73.65,55.81,66,13,6.33
16,Provideniya,RU,1650472147,64.3833,-173.3,19.81,88,32,6.06
17,Montego Bay,JM,1650472670,18.4712,-77.9188,83.79,74,40,16.11
18,Portland,US,1650471995,45.5234,-122.6762,49.21,82,100,14.97
19,Cape Town,ZA,1650472109,-33.9258,18.4232,75.88,41,0,3.44
20,Baykit,RU,1650472168,61.67,96.37,14.67,96,100,1.99
21,Atikokan,CA,1650472670,48.7555,-91.6216,33.12,100,100,14.07
22,Adrar,MR,1650472290,20.5022,-10.0711,96.49,11,72,14.0
23,Moratuwa,LK,1650472671,6.773,79.8816,84.22,84,85,3.94
24,Tiksi,RU,1650472130,71.6872,128.8694,9.84,98,100,5.91
25,Hamilton,US,1650472093,39.1834,-84.5333,55.99,50,100,10.36
26,Flinders,AU,1650472261,-34.5833,150.8552,59.05,77,0,1.99
27,Mount Isa,AU,1650472087,-20.7333,139.5,74.97,19,0,14.97
28,Itarema,BR,1650472196,-2.9248,-39.9167,84.15,73,48,12.21
29,Lere,NG,1650472671,10.387,8.5726,90.43,33,82,3.58
30,Lexington,US,1650472563,37.9887,-84.4777,61.99,41,93,9.62
31,Bluff,NZ,1650472098,-46.6,168.3333,57.79,98,99,5.75
32,Olafsvik,IS,1650472672,64.8945,-23.7142,44.22,90,100,17.52
33,Pevek,RU,1650472217,69.7008,170.3133,12.18,87,100,3.06
34,Cooma,AU,1650472672,-36.2333,149.1333,35.37,100,0,0.0
35,Bengkulu,ID,1650472212,-3.8004,102.2655,75.96,93,100,8.48
36,Busselton,AU,1650472087,-33.65,115.3333,56.23,83,0,13.15
37,Tiarei,PF,1650472422,-17.5333,-149.3333,75.22,73,15,8.84
38,Jamestown,US,1650472062,42.097,-79.2353,45.01,49,20,8.01
39,Mayo,US,1650472145,38.8876,-76.5119,57.51,39,0,6.91
40,Makkah al Mukarramah,SA,1650472422,21.4267,39.8261,87.69,42,1,7.78
41,East London,ZA,1650472108,-33.0153,27.9116,70.74,83,0,10.36
42,Coquimbo,CL,1650472115,-29.9533,-71.3436,60.53,77,20,13.8
43,Punta Arenas,CL,1650471849,-53.15,-70.9167,50.11,69,75,27.63
44,Vestmannaeyjar,IS,1650472673,63.4427,-20.2734,45.59,100,100,13.8
45,Shumyachi,RU,1650472674,53.8583,32.4242,45.16,94,100,13.09
46,Hasaki,JP,1650472096,35.7333,140.8333,55.8,82,21,8.23
47,Līsakovsk,KZ,1650472674,52.5369,62.4936,60.46,61,100,8.97
48,Bambous Virieux,MU,1650471845,-20.3428,57.7575,79.05,89,20,1.14
49,Mil'kovo,RU,1650472674,54.7167,158.6167,24.26,87,90,2.66
50,Khatanga,RU,1650472139,71.9667,102.5,-11.24,100,41,0.89
51,Arraial do Cabo,BR,1650471849,-22.9661,-42.0278,78.76,73,20,12.66
52,Fairbanks,US,1650472528,64.8378,-147.7164,31.24,61,0,4.61
53,Puerto Ayora,EC,1650471843,-0.7393,-90.3518,76.96,81,70,8.14
54,Kutum,SD,1650472171,14.2,24.6667,90.05,11,74,10.45
55,Rikitea,PF,1650471849,-23.1203,-134.9692,78.31,70,18,16.6
56,Carrollton,US,1650472675,32.9537,-96.8903,78.49,77,100,28.77
57,Monte Azul,BR,1650472675,-15.155,-42.8747,87.6,34,29,4.68
58,Nikolskoye,RU,1650472113,59.7035,30.7861,55.29,78,41,9.08
59,Saint George,US,1650472182,37.1041,-113.5841,68.79,26,0,4.61
60,Belturbet,IE,1650472676,54.1,-7.45,53.47,76,59,8.68
61,Sokolo,ML,1650472676,14.7328,-6.1219,101.28,6,64,11.81
62,Saint-Philippe,RE,1650472095,-21.3585,55.7679,80.19,85,54,4.25
63,Nioro,GM,1650472568,13.35,-15.75,103.51,12,73,4.76
64,Ushuaia,AR,1650472091,-54.8,-68.3,47.86,61,75,19.57
65,Kuusamo,FI,1650472677,65.9667,29.1833,55.44,44,0,2.3
66,Hobart,AU,1650472120,-42.8794,147.3294,48.06,72,40,11.5
67,Bahir Dar,ET,1650472677,11.5936,37.3908,77.25,45,84,7.11
68,Vaini,TO,1650472099,-21.2,-175.2,73.56,100,75,3.44
69,Morant Bay,JM,1650472678,17.8815,-76.4093,85.71,74,86,10.94
70,Kuching,MY,1650472678,1.55,110.3333,79.02,89,20,2.3
71,Montepuez,MZ,1650472678,-13.1256,38.9997,69.51,92,83,4.03
72,Mataura,NZ,1650472098,-46.1927,168.8643,57.47,99,99,1.92
73,Husavik,IS,1650472115,66.0449,-17.3389,45.63,73,98,12.84
74,Praia,CV,1650472679,14.9215,-23.5087,82.94,44,0,19.57
75,Lagoa,PT,1650472276,39.05,-27.9833,58.59,61,93,1.41
76,Carnarvon,AU,1650472131,-24.8667,113.6333,68.07,83,98,6.91
77,Hithadhoo,MV,1650472112,-0.6,73.0833,83.61,68,100,3.96
78,Sohag,EG,1650472679,26.557,31.6948,80.89,17,6,16.69
79,Tegul'det,RU,1650472180,57.3064,88.1667,33.78,92,100,3.53
80,Jumla,NP,1650472151,29.2747,82.1838,54.28,60,11,4.27
81,Hambantota,LK,1650472093,6.1241,81.1185,81.77,80,90,3.2
82,Chui,UY,1650472063,-33.6971,-53.4616,76.32,50,2,7.14
83,Saskylakh,RU,1650472141,71.9167,114.0833,0.54,99,99,4.74
84,Birjand,IR,1650472680,32.8663,59.2211,70.27,11,0,9.22
85,San Patricio,US,1650472153,28.017,-97.5169,80.19,62,76,21.39
86,Beloha,MG,1650472681,-25.1667,45.05,72.93,86,59,14.63
87,Palu,ID,1650472191,-0.8917,119.8707,75.99,95,100,2.37
88,Saint Paul Harbor,US,1650472149,57.79,-152.4072,31.51,93,0,5.75
89,Tilichiki,RU,1650472392,60.4667,166.1,2.57,99,82,7.65
90,Dolores,AR,1650472681,-36.3132,-57.6792,79.02,36,100,10.98
91,Port Elizabeth,ZA,1650472124,-33.918,25.5701,70.32,79,0,6.91
92,Takoradze,GH,1650472398,4.8845,-1.7554,84.04,77,62,13.13
93,Skellefteå,SE,1650472682,64.7507,20.9528,55.76,44,0,8.05
94,Chokurdakh,RU,1650472234,70.6333,147.9167,2.64,99,97,4.18
95,Yerbogachën,RU,1650472273,61.2767,108.0108,13.41,95,42,3.4
96,Muros,ES,1650472682,42.7762,-9.0603,60.67,52,5,14.88
97,Hailey,US,1650472682,43.5196,-114.3153,41.0,74,100,3.0
98,Zhalantun,CN,1650472683,48.0,122.7167,43.75,75,87,7.61
99,Agía Galíni,GR,1650472683,35.1,24.6833,60.39,67,14,5.99
100,Klaksvík,FO,1650472149,62.2266,-6.589,47.32,90,30,20.33
101,Westlock,CA,1650472684,54.1502,-113.8688,34.11,78,99,4.88
102,Codrington,AU,1650472215,-38.2667,141.9667,55.87,76,55,7.61
103,Torbay,CA,1650472135,47.6666,-52.7314,50.29,83,100,28.77
104,Tiznit Province,MA,1650472684,29.5833,-9.5,61.66,55,0,15.79
105,Sumenep,ID,1650472614,-7.0167,113.8667,77.74,86,75,2.93
106,Fortuna,US,1650472092,40.5982,-124.1573,52.09,88,100,13.0
107,Meulaboh,ID,1650472216,4.1363,96.1285,78.03,87,99,5.23
108,Cartagena del Chairá,CO,1650472598,1.3349,-74.8429,83.01,69,92,2.28
109,Ha Tinh,VN,1650472685,18.3333,105.9,69.51,89,64,2.44
110,Leh,IN,1650472272,34.1667,77.5833,45.5,36,88,6.98
111,Sisimiut,GL,1650472204,66.9395,-53.6735,16.32,50,6,7.78
112,Te Anau,NZ,1650472685,-45.4167,167.7167,60.08,98,98,2.08
113,Yellowknife,CA,1650471914,62.456,-114.3525,25.32,36,20,4.61
114,Caucayá,CO,1650472686,-0.1934,-74.7819,86.09,62,100,2.06
115,Bredasdorp,ZA,1650471843,-34.5322,20.0403,73.0,40,56,5.1
116,Tianpeng,CN,1650472686,30.9866,103.9393,61.27,63,0,4.29
117,Loa Janan,ID,1650472687,-0.583,117.095,74.17,96,97,1.32
118,Khorol,UA,1650472687,49.7837,33.2783,44.01,88,94,9.89
119,Port Hardy,CA,1650472302,50.6996,-127.4199,48.2,66,75,20.71
120,Srednekolymsk,RU,1650472244,67.45,153.6833,2.55,96,46,1.81
121,Geraldton,AU,1650472127,-28.7667,114.6,70.21,40,100,16.11
122,Talnakh,RU,1650472127,69.4865,88.3972,-1.46,92,28,4.81
123,Bethel,US,1650472108,41.3712,-73.414,53.98,44,0,10.36
124,Beringovskiy,RU,1650472097,63.05,179.3167,18.07,100,87,2.89
125,Cabedelo,BR,1650472688,-6.9811,-34.8339,86.67,71,95,12.26
126,Masty,BY,1650472688,53.4122,24.5387,44.78,96,100,9.31
127,Ponta do Sol,PT,1650472297,32.6667,-17.1,67.12,43,1,5.28
128,Russell,US,1650472689,32.3502,-85.1999,70.88,36,0,16.11
129,Rassvet,RU,1650472689,46.8333,40.75,49.3,67,27,9.31
130,Port Hedland,AU,1650472130,-20.3167,118.5667,78.85,73,19,5.75
131,Waverley,ZA,1650472689,-25.7023,28.2591,65.53,45,0,2.3
132,Waddān,LY,1650472690,29.1614,16.139,83.19,11,12,8.57
133,Lānja,IN,1650472690,16.85,73.55,79.9,78,57,3.47
134,Huarmey,PE,1650472690,-10.0681,-78.1522,72.82,73,65,9.55
135,Clonakilty,IE,1650472691,51.6231,-8.8706,53.1,77,100,9.24
136,Cidreira,BR,1650472271,-30.1811,-50.2056,71.87,64,0,7.23
137,Porbandar,IN,1650472288,21.6422,69.6093,82.81,73,78,10.76
138,Niğde,TR,1650472691,37.8333,34.75,49.86,54,24,2.26
139,Ponta Delgada,PT,1650472691,37.7333,-25.6667,65.5,63,75,5.75
140,Kavieng,PG,1650472692,-2.5744,150.7967,82.38,76,33,13.94
141,Mossamedes,AO,1650472692,-15.1961,12.1522,79.43,83,100,0.0
142,Onguday,RU,1650472692,50.75,86.15,38.17,92,90,2.57
143,Avarua,CK,1650472608,-21.2078,-159.775,77.05,69,100,8.05
144,Burnie,AU,1650472693,-41.0667,145.9167,52.05,57,39,10.38
145,Porto-Novo,BJ,1650472693,6.4965,2.6036,87.62,67,70,9.86
146,Hualmay,PE,1650472693,-11.0964,-77.6139,72.64,72,66,9.89
147,Pingliang,CN,1650472694,35.5392,106.6861,59.72,27,100,5.3
148,Port Alfred,ZA,1650472094,-33.5906,26.891,69.19,87,12,1.01
149,Marystown,CA,1650472694,47.1666,-55.1483,41.86,100,100,15.99
150,Bānswāra,IN,1650472695,23.55,74.45,91.56,23,92,13.44
151,Martapura,ID,1650472695,-3.4167,114.85,77.09,100,99,2.3
152,Bubaque,GW,1650472148,11.2833,-15.8333,76.95,72,46,11.79
153,Port Blair,IN,1650472236,11.6667,92.75,83.62,72,39,8.48
154,Lokosovo,RU,1650472695,61.1333,74.8167,28.2,94,100,11.74
